Steppingstone sampler:
        No Stones:                  1000
        Start It:                   10000001
        It Per Stone:               100000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.997502	75000	0.072593	0.072593
1	0.995007	75000	0.072486	0.145078
2	0.992517	75000	0.072366	0.217444
3	0.990030	75000	0.072299	0.289743
4	0.987547	75000	0.072159	0.361902
5	0.985067	75000	0.071975	0.433877
6	0.982592	75000	0.071923	0.505800
7	0.980120	75000	0.071812	0.577612
8	0.977652	75000	0.071687	0.649299
9	0.975187	75000	0.071551	0.720850
10	0.972726	75000	0.071447	0.792297
11	0.970269	75000	0.071324	0.863621
12	0.967816	75000	0.071274	0.934895
13	0.965367	75000	0.071100	1.005996
14	0.962921	75000	0.071003	1.076998
15	0.960479	75000	0.070911	1.147910
16	0.958040	75000	0.070767	1.218677
17	0.955606	75000	0.070693	1.289370
18	0.953175	75000	0.070542	1.359912
19	0.950747	75000	0.070375	1.430287
20	0.948324	75000	0.070362	1.500649
21	0.945904	75000	0.070184	1.570834
22	0.943488	75000	0.070044	1.640878
23	0.941076	75000	0.069914	1.710792
24	0.938667	75000	0.069872	1.780664
25	0.936262	75000	0.069726	1.850390
26	0.933861	75000	0.069680	1.920070
27	0.931463	75000	0.069525	1.989594
28	0.929069	75000	0.069426	2.059021
29	0.926679	75000	0.069264	2.128284
30	0.924293	75000	0.069113	2.197398
31	0.921910	75000	0.069057	2.266455
32	0.919531	75000	0.068897	2.335352
33	0.917155	75000	0.068827	2.404179
34	0.914783	75000	0.068695	2.472874
35	0.912415	75000	0.068571	2.541444
36	0.910051	75000	0.068488	2.609932
37	0.907690	75000	0.068363	2.678295
38	0.905333	75000	0.068249	2.746544
39	0.902980	75000	0.068140	2.814685
40	0.900630	75000	0.068037	2.882722
41	0.898284	75000	0.067955	2.950676
42	0.895942	75000	0.067783	3.018459
43	0.893603	75000	0.067664	3.086123
44	0.891268	75000	0.067586	3.153709
45	0.888937	75000	0.067447	3.221155
46	0.886609	75000	0.067335	3.288490
47	0.884285	75000	0.067189	3.355679
48	0.881965	75000	0.067175	3.422854
49	0.879648	75000	0.067011	3.489865
50	0.877335	75000	0.066842	3.556707
51	0.875026	75000	0.066801	3.623508
52	0.872720	75000	0.066646	3.690154
53	0.870418	75000	0.066559	3.756713
54	0.868120	75000	0.066444	3.823157
55	0.865825	75000	0.066312	3.889469
56	0.863534	75000	0.066171	3.955640
57	0.861246	75000	0.066112	4.021752
58	0.858962	75000	0.066011	4.087763
59	0.856682	75000	0.065841	4.153604
60	0.854405	75000	0.065813	4.219417
61	0.852132	75000	0.065693	4.285110
62	0.849863	75000	0.065532	4.350642
63	0.847597	75000	0.065443	4.416085
64	0.845335	75000	0.065308	4.481392
65	0.843077	75000	0.065161	4.546553
66	0.840822	75000	0.065079	4.611632
67	0.838571	75000	0.065019	4.676651
68	0.836323	75000	0.064921	4.741571
69	0.834079	75000	0.064741	4.806312
70	0.831839	75000	0.064586	4.870898
71	0.829602	75000	0.064533	4.935431
72	0.827369	75000	0.064394	4.999825
73	0.825140	75000	0.064335	5.064160
74	0.822914	75000	0.064187	5.128347
75	0.820691	75000	0.064109	5.192456
76	0.818473	75000	0.064016	5.256471
77	0.816258	75000	0.063903	5.320374
78	0.814046	75000	0.063822	5.384196
79	0.811838	75000	0.063596	5.447792
80	0.809634	75000	0.063498	5.511290
81	0.807433	75000	0.063429	5.574719
82	0.805236	75000	0.063253	5.637972
83	0.803043	75000	0.063190	5.701162
